,Company_Name,Ratings,Rating_Count,Salary,Interview,Jobs
8607,Punjab National Bank,3.8,1.3k,2.9k,59,--
8608,R Systems International,3.5,1.3k,7.4k,146,22
8609,CenturyPly,3.8,1.3k,4.3k,91,44
8610,Mondelez International,4.1,1.3k,4.6k,75,76
8611,OM Logistics,3.9,1.3k,3.6k,90,7
8612,OM Logistics,3.9,1.3k,3.6k,90,7
8613,AGS Transact Technologies,2.8,1.3k,3.9k,43,--
8614,OM Logistics,3.9,1.3k,3.6k,90,7
8615,AGS Transact Technologies,2.8,1.3k,3.9k,43,--
8616,Sigma Electric Manufacturing Corporation,4.0,1.3k,2.9k,78,10
8617,OM Logistics,3.9,1.3k,3.6k,90,7
8618,AGS Transact Technologies,2.8,1.3k,3.9k,43,--
8619,Sigma Electric Manufacturing Corporation,4.0,1.3k,2.9k,78,10
8620,Luminous Power Technologies,4.1,1.3k,3.9k,95,32
8621,OM Logistics,3.9,1.3k,3.6k,90,7
8622,AGS Transact Technologies,2.8,1.3k,3.9k,43,--
8623,Sigma Electric Manufacturing Corporation,4.0,1.3k,2.9k,78,10
8624,Luminous Power Technologies,4.1,1.3k,3.9k,95,32
8625,Baroda Global Shared Services,3.8,1.3k,2.9k,123,30
8626,OM Logistics,3.9,1.3k,3.6k,90,7
8627,AGS Transact Technologies,2.8,1.3k,3.9k,43,--
8628,Sigma Electric Manufacturing Corporation,4.0,1.3k,2.9k,78,10
8629,Luminous Power Technologies,4.1,1.3k,3.9k,95,32
8630,Baroda Global Shared Services,3.8,1.3k,2.9k,123,30
8631,More Supermarket,3.7,1.3k,3.8k,91,52
8632,OM Logistics,3.9,1.3k,3.6k,90,7
8633,AGS Transact Technologies,2.8,1.3k,3.9k,43,--
8634,Sigma Electric Manufacturing Corporation,4.0,1.3k,2.9k,78,10
8635,Luminous Power Technologies,4.1,1.3k,3.9k,95,32
8636,Baroda Global Shared Services,3.8,1.3k,2.9k,123,30
8637,More Supermarket,3.7,1.3k,3.8k,91,52
8638,Decathlon,3.7,1.3k,4.1k,118,3
8639,OM Logistics,3.9,1.3k,3.6k,90,7
8640,AGS Transact Technologies,2.8,1.3k,3.9k,43,--
8641,Sigma Electric Manufacturing Corporation,4.0,1.3k,2.9k,78,10
8642,Luminous Power Technologies,4.1,1.3k,3.9k,95,32
8643,Baroda Global Shared Services,3.8,1.3k,2.9k,123,30
8644,More Supermarket,3.7,1.3k,3.8k,91,52
8645,Decathlon,3.7,1.3k,4.1k,118,3
8646,Panasonic,4.0,1.3k,4.8k,49,17
8647,OM Logistics,3.9,1.3k,3.6k,90,7
8648,AGS Transact Technologies,2.8,1.3k,3.9k,43,--
8649,Sigma Electric Manufacturing Corporation,4.0,1.3k,2.9k,78,10
8650,Luminous Power Technologies,4.1,1.3k,3.9k,95,32
8651,Baroda Global Shared Services,3.8,1.3k,2.9k,123,30
8652,More Supermarket,3.7,1.3k,3.8k,91,52
8653,Decathlon,3.7,1.3k,4.1k,118,3
8654,Panasonic,4.0,1.3k,4.8k,49,17
8655,Troikaa Pharmaceuticals,4.1,1.2k,3.7k,113,196
8656,OM Logistics,3.9,1.3k,3.6k,90,7
8657,AGS Transact Technologies,2.8,1.3k,3.9k,43,--
8658,Sigma Electric Manufacturing Corporation,4.0,1.3k,2.9k,78,10
8659,Luminous Power Technologies,4.1,1.3k,3.9k,95,32
8660,Baroda Global Shared Services,3.8,1.3k,2.9k,123,30
8661,More Supermarket,3.7,1.3k,3.8k,91,52
8662,Decathlon,3.7,1.3k,4.1k,118,3
8663,Panasonic,4.0,1.3k,4.8k,49,17
8664,Troikaa Pharmaceuticals,4.1,1.2k,3.7k,113,196
8665,Jakson Group,4.1,1.2k,3.8k,102,19
8666,OM Logistics,3.9,1.3k,3.6k,90,7
8667,AGS Transact Technologies,2.8,1.3k,3.9k,43,--
8668,Sigma Electric Manufacturing Corporation,4.0,1.3k,2.9k,78,10
